Threatened_species,Year,Series,Value
Panama,2019,Threatened Species: Vertebrates (number),161
Dominica,2017,Threatened Species: Vertebrates (number),44
Morocco,2018,Threatened Species: Invertebrates (number),69
Curaçao,2019,Threatened Species: Plants (number),2
Nicaragua,2010,Threatened Species: Vertebrates (number),61
Lebanon,2020,Threatened Species: Plants (number),29
Colombia,2004,Threatened Species: Vertebrates (number),371
Costa Rica,2020,Threatened Species: Plants (number),151
Micronesia (Fed. States of),2018,Threatened Species: Plants (number),4
State of Palestine,2004,Threatened Species: Total (number),4
Japan,2017,Threatened Species: Total (number),404
Vanuatu,2004,Threatened Species: Total (number),29
Latvia,2020,Threatened Species: Plants (number),10
Saint Kitts and Nevis,2017,Threatened Species: Total (number),52
Burundi,2018,Threatened Species: Invertebrates (number),7
Somalia,2004,Threatened Species: Total (number),64
Martinique,2016,Threatened Species: Vertebrates (number),33
Sint Maarten (Dutch part),2020,Threatened Species: Plants (number),2
Oman,2017,Threatened Species: Vertebrates (number),62
United Arab Emirates,2019,Threatened Species: Total (number),64
Bulgaria,2010,Threatened Species: Plants (number),0
Trinidad and Tobago,2019,Threatened Species: Invertebrates (number),10
Lithuania,2020,Threatened Species: Invertebrates (number),8
Netherlands,2016,Threatened Species: Total (number),39
Ghana,2010,Threatened Species: Total (number),202
Guam,2016,Threatened Species: Vertebrates (number),34
Zimbabwe,2016,Threatened Species: Vertebrates (number),39
Saint Helena,2020,Threatened Species: Plants (number),45
Palau,2017,Threatened Species: Total (number),182
"China, Macao SAR",2010,Threatened Species: Plants (number),0
Poland,2019,Threatened Species: Vertebrates (number),23
Kazakhstan,2004,Threatened Species: Invertebrates (number),4
Djibouti,2020,Threatened Species: Vertebrates (number),50
Republic of Korea,2019,Threatened Species: Total (number),125
Bermuda,2010,Threatened Species: Invertebrates (number),28
Republic of Korea,2004,Threatened Species: Plants (number),0
Cook Islands,2019,Threatened Species: Vertebrates (number),32
Australia,2017,Threatened Species: Vertebrates (number),323
Bulgaria,2020,Threatened Species: Plants (number),21
United States of America,2019,Threatened Species: Plants (number),556
United States Virgin Islands,2020,Threatened Species: Vertebrates (number),54
Finland,2016,Threatened Species: Total (number),35
Serbia,2019,Threatened Species: Vertebrates (number),35
Latvia,2019,Threatened Species: Total (number),35
Nicaragua,2004,Threatened Species: Total (number),90
Croatia,2010,Threatened Species: Total (number),101
Germany,2018,Threatened Species: Invertebrates (number),61
Saint Kitts and Nevis,2019,Threatened Species: Vertebrates (number),43
Niger,2010,Threatened Species: Total (number),26
Seychelles,2019,Threatened Species: Total (number),446
United States of America,2010,Threatened Species: Vertebrates (number),376
Argentina,2018,Threatened Species: Vertebrates (number),186
Kiribati,2016,Threatened Species: Vertebrates (number),21
Algeria,2016,Threatened Species: Invertebrates (number),29
Iceland,2016,Threatened Species: Vertebrates (number),26
Sweden,2004,Threatened Species: Invertebrates (number),13
State of Palestine,2020,Threatened Species: Plants (number),10
British Indian Ocean Terr.,2017,Threatened Species: Plants (number),1
American Samoa,2016,Threatened Species: Invertebrates (number),64
Montserrat,2004,Threatened Species: Plants (number),3
Togo,2017,Threatened Species: Plants (number),12
Tunisia,2019,Threatened Species: Vertebrates (number),71
Nicaragua,2004,Threatened Species: Invertebrates (number),2
Germany,2019,Threatened Species: Invertebrates (number),61
Brazil,2004,Threatened Species: Vertebrates (number),282
Turkey,2004,Threatened Species: Invertebrates (number),13
Montenegro,2019,Threatened Species: Invertebrates (number),42
State of Palestine,2019,Threatened Species: Plants (number),10
Republic of Moldova,2010,Threatened Species: Vertebrates (number),24
Trinidad and Tobago,2020,Threatened Species: Plants (number),50
South Africa,2018,Threatened Species: Invertebrates (number),208
Saint Helena,2004,Threatened Species: Invertebrates (number),2
Serbia,2010,Threatened Species: Total (number),46
Equatorial Guinea,2004,Threatened Species: Invertebrates (number),2
Nauru,2017,Threatened Species: Plants (number),0
Poland,2018,Threatened Species: Total (number),66
Gabon,2016,Threatened Species: Vertebrates (number),105
Gibraltar,2016,Threatened Species: Plants (number),0
Marshall Islands,2010,Threatened Species: Total (number),84
Portugal,2017,Threatened Species: Plants (number),84
Greece,2010,Threatened Species: Invertebrates (number),36
Myanmar,2018,Threatened Species: Invertebrates (number),77
Bulgaria,2004,Threatened Species: Total (number),44
Kuwait,2017,Threatened Species: Total (number),49
Sudan,2020,Threatened Species: Invertebrates (number),50
Niger,2004,Threatened Species: Total (number),15
Singapore,2017,Threatened Species: Total (number),293
Holy See,2010,Threatened Species: Plants (number),0
South Africa,2020,Threatened Species: Invertebrates (number),196
Sierra Leone,2016,Threatened Species: Invertebrates (number),8
Luxembourg,2020,Threatened Species: Total (number),16
Kyrgyzstan,2017,Threatened Species: Total (number),44
Nepal,2004,Threatened Species: Vertebrates (number),69
Cuba,2020,Threatened Species: Vertebrates (number),155
Greenland,2020,Threatened Species: Plants (number),3
Greenland,2004,Threatened Species: Total (number),12
Micronesia (Fed. States of),2020,Threatened Species: Plants (number),5
French Polynesia,2018,Threatened Species: Plants (number),48
Rwanda,2010,Threatened Species: Vertebrates (number),49
Central African Republic,2010,Threatened Species: Invertebrates (number),0
Belize,2019,Threatened Species: Plants (number),46
Micronesia (Fed. States of),2016,Threatened Species: Total (number),167
Yemen,2019,Threatened Species: Vertebrates (number),78
Saint Barthélemy,2010,Threatened Species: Invertebrates (number),11
Cameroon,2016,Threatened Species: Vertebrates (number),255
Panama,2020,Threatened Species: Invertebrates (number),22
Latvia,2010,Threatened Species: Total (number),18
Estonia,2020,Threatened Species: Vertebrates (number),15
South Georgia & Sandwich Is.,2004,Threatened Species: Total (number),12
Bolivia (Plurin. State of),2010,Threatened Species: Plants (number),72
Jersey,2019,Threatened Species: Invertebrates (number),1
North Macedonia,2010,Threatened Species: Total (number),90
Czechia,2016,Threatened Species: Plants (number),15
Barbados,2018,Threatened Species: Invertebrates (number),11
Azerbaijan,2018,Threatened Species: Invertebrates (number),7
Curaçao,2016,Threatened Species: Plants (number),2
Italy,2019,Threatened Species: Plants (number),145
El Salvador,2010,Threatened Species: Vertebrates (number),39
Cameroon,2010,Threatened Species: Plants (number),378
Comoros,2017,Threatened Species: Total (number),114
Georgia,2020,Threatened Species: Plants (number),69
Kenya,2018,Threatened Species: Plants (number),234
Papua New Guinea,2010,Threatened Species: Invertebrates (number),171
New Caledonia,2004,Threatened Species: Total (number),262
Bahamas,2016,Threatened Species: Invertebrates (number),12
Nepal,2017,Threatened Species: Vertebrates (number),84
Russian Federation,2017,Threatened Species: Total (number),235
Bhutan,2017,Threatened Species: Total (number),71
Yemen,2020,Threatened Species: Plants (number),163
Azerbaijan,2018,Threatened Species: Vertebrates (number),47
Latvia,2019,Threatened Species: Vertebrates (number),18
French Polynesia,2004,Threatened Species: Invertebrates (number),29
Singapore,2004,Threatened Species: Vertebrates (number),30
Micronesia (Fed. States of),2020,Threatened Species: Invertebrates (number),116
Palau,2004,Threatened Species: Vertebrates (number),13
Saint Martin (French part),2018,Threatened Species: Invertebrates (number),10
Bangladesh,2016,Threatened Species: Plants (number),21
Dominica,2020,Threatened Species: Vertebrates (number),51
Bulgaria,2017,Threatened Species: Plants (number),6
Bahamas,2018,Threatened Species: Vertebrates (number),71
"Bonaire, St. Eustatius & Saba",2019,Threatened Species: Plants (number),3
Senegal,2004,Threatened Species: Invertebrates (number),0
Cayman Islands,2018,Threatened Species: Total (number),74
Réunion,2010,Threatened Species: Plants (number),15
Burundi,2010,Threatened Species: Invertebrates (number),7
South Georgia & Sandwich Is.,2017,Threatened Species: Plants (number),0
Iraq,2020,Threatened Species: Plants (number),4
Eritrea,2017,Threatened Species: Invertebrates (number),58
Afghanistan,2020,Threatened Species: Total (number),40
Hungary,2017,Threatened Species: Vertebrates (number),26
Bermuda,2020,Threatened Species: Total (number),80
Brunei Darussalam,2016,Threatened Species: Invertebrates (number),8
Saint Helena,2016,Threatened Species: Total (number),98
Panama,2017,Threatened Species: Plants (number),208
Lebanon,2017,Threatened Species: Invertebrates (number),17
Central African Republic,2019,Threatened Species: Plants (number),26
Ghana,2018,Threatened Species: Invertebrates (number),5
"China, Macao SAR",2017,Threatened Species: Total (number),11
New Caledonia,2016,Threatened Species: Total (number),525
Slovenia,2019,Threatened Species: Plants (number),26
United States Virgin Islands,2010,Threatened Species: Vertebrates (number),21
British Virgin Islands,2010,Threatened Species: Vertebrates (number),23
Saudi Arabia,2020,Threatened Species: Total (number),144
Tokelau,2019,Threatened Species: Vertebrates (number),16
Congo,2018,Threatened Species: Total (number),140
Sao Tome and Principe,2004,Threatened Species: Total (number),61
Latvia,2016,Threatened Species: Plants (number),1
Equatorial Guinea,2019,Threatened Species: Plants (number),98
Nepal,2016,Threatened Species: Vertebrates (number),87
Luxembourg,2018,Threatened Species: Vertebrates (number),4
Thailand,2019,Threatened Species: Vertebrates (number),275
El Salvador,2019,Threatened Species: Vertebrates (number),50
Monaco,2019,Threatened Species: Total (number),24
Réunion,2004,Threatened Species: Vertebrates (number),18
Croatia,2004,Threatened Species: Invertebrates (number),11
Ecuador,2019,Threatened Species: Plants (number),1882
Madagascar,2010,Threatened Species: Invertebrates (number),100
Myanmar,2010,Threatened Species: Invertebrates (number),64
Mongolia,2018,Threatened Species: Invertebrates (number),3
Bangladesh,2010,Threatened Species: Invertebrates (number),2
Uganda,2019,Threatened Species: Plants (number),83
Faroe Islands,2019,Threatened Species: Plants (number),4
Indonesia,2004,Threatened Species: Invertebrates (number),31
Bermuda,2010,Threatened Species: Plants (number),4
"China, Hong Kong SAR",2004,Threatened Species: Invertebrates (number),1
Samoa,2004,Threatened Species: Invertebrates (number),1
Guatemala,2018,Threatened Species: Invertebrates (number),13
U.S. Minor Outlying islands,2004,Threatened Species: Vertebrates (number),15
Cameroon,2019,Threatened Species: Invertebrates (number),25
Benin,2019,Threatened Species: Vertebrates (number),77
South Georgia & Sandwich Is.,2017,Threatened Species: Vertebrates (number),9
Nauru,2020,Threatened Species: Total (number),86
Lesotho,2019,Threatened Species: Invertebrates (number),3
Heard Is. and McDonald Is.,2018,Threatened Species: Vertebrates (number),12
United States of America,2004,Threatened Species: Total (number),1143
Kuwait,2017,Threatened Species: Vertebrates (number),36
Cayman Islands,2010,Threatened Species: Plants (number),2
Anguilla,2010,Threatened Species: Total (number),33
Seychelles,2017,Threatened Species: Vertebrates (number),57
Norfolk Island,2016,Threatened Species: Total (number),42
Azerbaijan,2016,Threatened Species: Total (number),96
Latvia,2019,Threatened Species: Plants (number),5
Marshall Islands,2020,Threatened Species: Plants (number),0
Guatemala,2019,Threatened Species: Invertebrates (number),13
Ukraine,2004,Threatened Species: Vertebrates (number),40
Norway,2019,Threatened Species: Total (number),104
Areas n.e.s,2010,Threatened Species: Vertebrates (number),1
Liechtenstein,2018,Threatened Species: Invertebrates (number),6
Nicaragua,2019,Threatened Species: Plants (number),49
Colombia,2017,Threatened Species: Total (number),835
Azerbaijan,2017,Threatened Species: Invertebrates (number),7
Slovenia,2020,Threatened Species: Total (number),175
Lao People's Dem. Rep.,2017,Threatened Species: Vertebrates (number),147
Côte d’Ivoire,2016,Threatened Species: Invertebrates (number),6
Wallis and Futuna Islands,2018,Threatened Species: Plants (number),1
Yemen,2004,Threatened Species: Total (number),195
Cuba,2020,Threatened Species: Plants (number),179
United States Virgin Islands,2019,Threatened Species: Invertebrates (number),0
Lithuania,2016,Threatened Species: Plants (number),2
Guyana,2010,Threatened Species: Plants (number),22
Spain,2010,Threatened Species: Invertebrates (number),67
Afghanistan,2017,Threatened Species: Invertebrates (number),2
Mozambique,2020,Threatened Species: Total (number),426
Eswatini,2004,Threatened Species: Plants (number),11
Ukraine,2018,Threatened Species: Total (number),114
Guam,2016,Threatened Species: Total (number),98
Lao People's Dem. Rep.,2018,Threatened Species: Vertebrates (number),149
Trinidad and Tobago,2019,Threatened Species: Plants (number),51
Slovakia,2018,Threatened Species: Total (number),81
France,2018,Threatened Species: Invertebrates (number),160
Greece,2019,Threatened Species: Total (number),512
Kuwait,2004,Threatened Species: Total (number),20
Azerbaijan,2019,Threatened Species: Plants (number),45
Samoa,2004,Threatened Species: Total (number),18
